Timestamp,Temperature [2 m elevation corrected],Relative Humidity [2 m],Wind Speed [10 m],Wind Direction [10 m]
20201130 0000,-6.961812,96.0,22.828087,217.95422,Alberta Canada
20201130 0100,-7.961812,96.0,22.039528,218.3675,Alberta Canada
20201130 0200,-9.021812,95.0,22.218153,220.3999,Alberta Canada
20201130 0300,-9.681812,95.0,22.218153,220.3999,Alberta Canada
20201130 0400,-10.101812,96.0,22.159746,223.02507,Alberta Canada
20201130 0500,-11.911812,87.0,19.8,216.8699,Alberta Canada
20201130 0600,-12.311812,87.0,20.972897,219.42781,Alberta Canada
20201130 0700,-12.641812,86.0,21.166653,221.55261,Alberta Canada
20201130 0800,-12.881812,86.0,21.38897,223.63608,Alberta Canada
20201130 0900,-12.111813,87.0,21.915691,222.337,Alberta Canada
20201130 1000,-9.761812,88.0,22.932877,222.4552,Alberta Canada
20201130 1100,-7.911812,90.0,23.1774,223.11182,Alberta Canada
20201130 1200,-5.9218116,92.0,24.951921,226.16914,Alberta Canada
20201130 1300,-4.0318117,94.0,27.534704,228.17984,Alberta Canada
20201130 1400,-2.541812,95.0,29.74306,231.88173,Alberta Canada
20201130 1500,-1.3518119,93.0,33.3559,235.1093,Alberta Canada
20201130 1600,-1.4218119,93.0,34.38895,239.1391,Alberta Canada
20201130 1700,-2.051812,93.0,31.25372,245.50143,Alberta Canada
20201130 1800,-3.021812,92.0,27.595823,262.50415,Alberta Canada
20201130 1900,-0.6918119,89.0,40.23795,303.69006,Alberta Canada
20201130 2000,-0.501812,86.0,61.369175,328.92096,Alberta Canada
20201130 2100,-1.1818119,92.0,63.11817,327.57895,Alberta Canada
20201130 2200,-0.631812,83.0,65.70961,325.26514,Alberta Canada
20201130 2300,-2.041812,77.0,64.438995,320.44034,Alberta Canada
20201201 0000,-4.601812,82.0,58.059418,316.50745,Alberta Canada
20201201 0100,-5.601812,85.0,56.532608,316.54816,Alberta Canada
20201201 0200,-6.081812,84.0,54.475506,315.0,Alberta Canada
20201201 0300,-6.351812,85.0,53.009308,312.24753,Alberta Canada
20201201 0400,-6.541812,87.0,51.394333,309.60004,Alberta Canada
20201201 0500,-7.811812,89.0,47.304054,306.95712,Alberta Canada
20201201 0600,-7.6118116,87.0,38.0733,310.01367,Alberta Canada
20201201 0700,-7.5518117,85.0,38.08861,306.54498,Alberta Canada
20201201 0800,-7.7818117,84.0,37.84283,304.14362,Alberta Canada
20201201 0900,-7.871812,85.0,37.247387,302.7685,Alberta Canada
20201201 1000,-6.891812,84.0,38.30407,306.9776,Alberta Canada
20201201 1100,-5.7418118,84.0,37.33601,309.52264,Alberta Canada
20201201 1200,-5.001812,85.0,34.247337,309.8827,Alberta Canada
20201201 1300,-4.6718116,86.0,31.037344,307.9333,Alberta Canada
20201201 1400,-4.681812,87.0,27.257967,303.69006,Alberta Canada
20201201 1500,-5.391812,88.0,23.828083,296.95218,Alberta Canada
20201201 1600,-7.221812,87.0,20.833395,288.12186,Alberta Canada
20201201 1700,-8.391812,86.0,19.35314,279.63754,Alberta Canada
20201201 1800,-8.701813,83.0,17.313717,273.57632,Alberta Canada
20201201 1900,-8.9418125,83.0,15.192682,256.29303,Alberta Canada
20201201 2000,-9.121812,84.0,15.629971,241.07358,Alberta Canada
20201201 2100,-8.931812,86.0,16.375053,236.6593,Alberta Canada
20201201 2200,-8.341812,86.0,17.873556,235.66978,Alberta Canada
20201201 2300,-7.951812,86.0,18.775303,237.52881,Alberta Canada
20201202 0000,-7.911812,87.0,20.26899,236.59218,Alberta Canada
20201202 0100,-8.331812,88.0,18.971008,236.6115,Alberta Canada
20201202 0200,-8.501812,88.0,17.873556,235.66978,Alberta Canada
20201202 0300,-8.451813,88.0,17.477621,237.61932,Alberta Canada
20201202 0400,-8.331812,88.0,17.595861,239.23729,Alberta Canada
20201202 0500,-8.241813,88.0,17.555307,241.8584,Alberta Canada
20201202 0600,-7.2618117,83.0,17.533146,250.82098,Alberta Canada
20201202 0700,-7.121812,82.0,16.263872,242.30054,Alberta Canada
20201202 0800,-7.411812,82.0,16.263872,242.30054,Alberta Canada
20201202 0900,-6.911812,84.0,16.09969,243.43495,Alberta Canada
20201202 1000,-5.771812,87.0,15.175612,247.69379,Alberta Canada
20201202 1100,-4.501812,89.0,13.854155,245.43283,Alberta Canada
20201202 1200,-3.0718122,92.0,13.0447235,242.02054,Alberta Canada
